make,model,generation_label,start_year,end_year,title,description,symptoms,severity,typical_mileage_km,estimated_repair_cost_min,estimated_repair_cost_max,recommendation
Hyundai,Tucson,3rd Gen,2016,2021,7-speed dual-clutch transmission hesitation,1.6T models with the 7-speed DCT can exhibit hesitation or a jerky feel from a stop as the clutch packs wear.,,moderate,80000,1000.0,3000.0,"Test drive from a full stop repeatedly, including uphill, to feel for hesitation or shudder."
Hyundai,Tucson,3rd Gen,2016,2021,AC condenser corrosion,"Road salt exposure corrodes the front-mounted AC condenser, leading to slow refrigerant leaks.",,minor,100000,500.0,900.0,Confirm AC blows consistently cold on a warm day before purchase.
Jeep,Grand Cherokee,WK2,2011,2021,TIPM electrical failures,"The Totally Integrated Power Module controls many electrical functions and is prone to failure, causing symptoms ranging from random accessory faults to the fuel pump running continuously with the key removed or a hard no-start.",,severe,100000,900.0,1600.0,"Ask if the TIPM has ever been replaced and watch for random warning lights, wipers activating on their own, or starting issues during the test."
Jeep,Grand Cherokee,WK2,2011,2021,Air suspension leaks and compressor failure,"Quadra-Lift air suspension equipped trims can develop leaks in the air springs or lines, causing the vehicle to sag overnight and the compressor to run excessively trying to compensate.",,severe,110000,1500.0,3000.0,"Check ride height first thing in the morning after the vehicle has sat overnight, and listen for the compressor running excessively."
Jeep,Grand Cherokee,WK2,2011,2021,Pentastar engine ticking and oil consumption,"The 3.6L Pentastar V6 can develop a ticking noise from rocker arm or lifter wear, along with above-average oil consumption in some units.",,moderate,100000,800.0,2000.0,Listen for ticking at idle when the engine is warm and ask for oil consumption history.
Jeep,Grand Cherokee,WK2,2011,2021,Water pump housing crack (Pentastar V6),"The Pentastar's water pump housing can crack or the pump itself can fail internally, leading to coolant loss and overheating.",,moderate,120000,500.0,900.0,Check coolant level and look for residue near the front-lower section of the engine.
Jeep,Grand Cherokee,WK2,2011,2021,Uconnect infotainment freezing,"The Uconnect touchscreen can freeze, reboot, or lose backup camera feed intermittently.",,minor,80000,0.0,400.0,"Cycle through navigation, backup camera, and phone pairing during the test drive to confirm responsiveness."
Mazda,Mazda3,4th Gen,2019,2024,Carbon buildup on intake valves,"Like most direct-injection engines, the SkyActiv-G 2.5L can accumulate carbon on the intake valves over time, leading to a rough idle and reduced throttle response.",,moderate,100000,400.0,800.0,Ask about idle quality and whether a walnut-shell intake cleaning has ever been performed.
Mazda,Mazda3,4th Gen,2019,2024,Mazda Connect infotainment freezing,"The infotainment system can freeze or fail to boot, occasionally requiring a full system reset.",,minor,60000,0.0,300.0,"Cycle through navigation, audio, and phone pairing screens using the console dial during the test drive."
Mazda,Mazda3,4th Gen,2019,2024,Clutch chatter on manual transmission models,6MT-equipped cars can develop clutch chatter or grabbiness from a stop as the clutch disc wears.,,minor,80000,500.0,1000.0,Take several stop-and-go launches on the test drive to check for chatter or slipping.
Mazda,Mazda3,4th Gen,2019,2024,AWD rear differential clutch pack wear,"On i-Activ AWD models, the rear differential clutch pack can wear prematurely, reducing torque transfer in slippery conditions.",,moderate,120000,600.0,1400.0,Ask about AWD fluid change history and test the car on a wet or gravel surface if possible.
Mazda,CX-5,2nd Gen,2017,2021,Fuel dilution in oil on turbo models,"The 2.5L Turbo engine, offered from 2019 onward, can experience gasoline diluting the engine oil on short, cold-weather trips.",,moderate,60000,0.0,300.0,Ask about oil change intervals and check the oil for a gasoline smell on the dipstick.
Mazda,CX-5,2nd Gen,2017,2021,Carbon buildup on intake valves,"Direct injection leads to carbon accumulation on the intake valves over time, causing a rough idle and hesitation.",,moderate,100000,400.0,800.0,Check idle smoothness at a stop and ask about any intake cleaning service history.
Mazda,CX-5,2nd Gen,2017,2021,Infotainment lag and Bluetooth dropouts,The Mazda Connect system can lag when switching between screens and occasionally drops Bluetooth phone connections.,,minor,70000,0.0,300.0,Pair a phone and test Bluetooth audio and calls during the test drive.
Mazda,CX-5,2nd Gen,2017,2021,Brake pedal soft or spongy feel,Some owners report a spongy brake pedal that firms back up after a fluid flush and bleed.,,minor,90000,150.0,300.0,Ask when the brake fluid was last flushed and test firm braking on the drive.
Nissan,Altima,5th Gen,2013,2018,CVT transmission failure,"The Jatco CVT used across this generation has a well-documented history of premature failure, presenting as a shudder, whine, or loss of power under load, and is the single most common reason these cars end up scrapped early.",,severe,120000,3500.0,5500.0,"Check for CVT-related extended warranty or class action settlement paperwork, and feel closely for shudder or whine during acceleration and at highway cruise."
Nissan,Altima,5th Gen,2013,2018,Engine mount failure,"Rubber engine mounts break down and cause noticeable vibration through the cabin, especially at idle and under acceleration.",,moderate,130000,300.0,700.0,Feel for excess vibration at a stoplight with the car in drive and brake applied.
Nissan,Altima,5th Gen,2013,2018,Oil consumption and timing chain rattle,The 2.5L QR25DE engine can burn oil faster than normal and develop a timing chain rattle on cold start as components wear.,,moderate,140000,0.0,1500.0,Ask for oil consumption history and listen for a rattle for the first few seconds after a cold start.
Nissan,Altima,5th Gen,2013,2018,Secondary air injection pump failure,"The emissions air injection pump can fail and trigger a check engine light, though it does not affect drivability.",,minor,100000,300.0,600.0,Scan for stored codes before buying to rule out a pending air injection pump fault.
Nissan,Rogue,2nd Gen,2014,2020,CVT transmission failure,"The Jatco CVT in this generation is subject to a class action settlement over premature failure, typically presenting as shuddering, hesitation, or a burning smell before it fails outright.",,severe,110000,3500.0,6000.0,"Ask if the CVT warranty extension was applied for this VIN, and test drive at both low speed and sustained highway cruise feeling for shudder."
Nissan,Rogue,2nd Gen,2014,2020,Oil consumption on the 2.5L engine,"Some engines consume oil faster than normal between changes, which can go unnoticed until the low oil light comes on.",,moderate,120000,0.0,1500.0,Check the oil level and condition on the dipstick and ask for oil change records.
Nissan,Rogue,2nd Gen,2014,2020,AWD propshaft coupling failure,"The rear coupling that engages AWD can wear out, causing clunking noises or a loss of all-wheel drive engagement.",,moderate,130000,600.0,1400.0,Test the vehicle on a gravel or wet surface if possible to confirm AWD engagement.
Nissan,Rogue,2nd Gen,2014,2020,Push-button start and key fob detection issues,"The intelligent key system can intermittently fail to detect the fob, preventing the push-button start from working.",,minor,90000,0.0,400.0,Test starting the vehicle with the fob in a pocket and also with a spare key if available.
Subaru,Outback,5th Gen,2015,2019,CVT (Lineartronic) shudder or failure,"The Lineartronic CVT can develop a shudder under light acceleration and, in more serious cases, fail outright, an issue significant enough that Subaru extended CVT warranty coverage and faced a related class action.",,severe,110000,3000.0,5500.0,"Ask if the CVT warranty extension applies to this VIN and test drive at steady highway cruise, feeling for shudder or hesitation."
Subaru,Outback,5th Gen,2015,2019,External head gasket coolant seep,"The 2.5L flat-four can develop a slow external coolant seep at the head gasket as it ages, usually visible as residue on the lower engine block.",,moderate,140000,600.0,1200.0,Check coolant level and look underneath the engine for dried coolant residue or a sweet smell.
Subaru,Outback,5th Gen,2015,2019,Windshield cracking from minor road debris,"The windshield glass on this generation is widely reported to crack or chip more easily than average from small stones, sometimes without an obvious impact point.",,minor,40000,400.0,900.0,Inspect the windshield closely for chips or cracks and ask about replacement history and whether OEM glass was used.
Subaru,Outback,5th Gen,2015,2019,Parasitic battery drain,"Some vehicles develop a parasitic electrical draw that drains the battery overnight, often traced to the infotainment or keyless entry module.",,minor,90000,0.0,400.0,Ask if the vehicle has needed a jump start recently or sat unused for more than a week.
Subaru,Outback,5th Gen,2015,2019,Oil consumption on the 2.5L engine,Some 2.5L engines consume oil above normal factory specification between changes.,,minor,100000,0.0,800.0,"Ask for oil consumption and top-up history, and check the dipstick before a test drive."
Toyota,Corolla,12th Gen,2020,2024,CVT judder at low speed,"Some early production units exhibit a shudder from a stop, related to the CVT's torque converter.",,minor,90000,0.0,1200.0,"Test drive from a full stop several times, feeling for vibration."
Toyota,Corolla,12th Gen,2020,2024,Infotainment software freezes,The touchscreen occasionally freezes and requires a restart.,,minor,70000,0.0,300.0,Cycle through all infotainment functions during the test drive.
Toyota,Corolla,12th Gen,2020,2024,Road noise / wind noise at highway speed,Thinner sound insulation on base trims leads to more cabin noise than competitors.,,minor,40000,0.0,0.0,Take the car on a highway stretch to judge cabin noise for yourself.
Toyota,Corolla,11th Gen,2014,2019,Excessive interior rattles,Interior trim panels can develop rattles over rough roads as the car ages.,,minor,120000,0.0,200.0,Drive over a rough road section and listen for rattles from the dash and doors.
Toyota,Corolla,11th Gen,2014,2019,Water pump wear,The water pump can start to weep coolant as it approaches the end of its service life.,,moderate,160000,400.0,700.0,Check under the car for coolant residue near the front of the engine.
Toyota,Corolla,11th Gen,2014,2019,Peeling paint clear coat,Clear coat peeling on the roof and trunk lid is common on cars kept outdoors.,,minor,130000,500.0,1500.0,Inspect the roof and trunk lid in direct sunlight for clear coat peeling.
Toyota,Camry,8th Gen,2018,2024,Infotainment touchscreen unresponsive,"The touchscreen can become intermittently unresponsive, especially in cold weather.",,minor,80000,0.0,400.0,"Test the touchscreen thoroughly, including in cold conditions if possible."
Toyota,Camry,8th Gen,2018,2024,Brake rotor warping,"Front brake rotors can warp prematurely, causing a pulsing sensation under braking.",,minor,70000,250.0,500.0,Brake hard from highway speed on the test drive and feel for pulsation.
Toyota,Camry,8th Gen,2018,2024,Sunroof rattle,The sunroof assembly can develop a rattle over bumps as seals wear.,,minor,100000,0.0,300.0,Open and close the sunroof and listen for rattling over bumps.
Toyota,RAV4,5th Gen,2019,2024,Excessive road noise,Factory tires and sound insulation let in more highway noise than rivals.,,minor,40000,0.0,0.0,Take the SUV on a highway stretch to judge cabin noise firsthand.
Toyota,RAV4,5th Gen,2019,2024,Infotainment lag with Apple CarPlay,Wireless CarPlay can lag or disconnect intermittently on early builds.,,minor,60000,0.0,300.0,Connect a phone and test CarPlay stability during the test drive.
Toyota,RAV4,5th Gen,2019,2024,Brake pedal soft feel,Some owners report a spongy brake pedal feel that firms up after a fluid flush.,,minor,90000,150.0,300.0,Ask when the brake fluid was last flushed.
Volkswagen,Jetta,6th Gen,2011,2018,Ignition coil pack failure,"Ignition coils are a chronic weak point on VW's four-cylinder engines, failing one at a time and causing a rough idle, misfire codes, and reduced power.",,moderate,90000,300.0,600.0,Ask for records of prior coil pack replacements and scan for stored misfire codes before buying.
Volkswagen,Jetta,6th Gen,2011,2018,Water pump failure (TSI engines),"The 1.8T and 2.0T EA888 engines use a water pump with a plastic impeller that can crack or fail, leading to coolant loss and overheating.",,moderate,100000,700.0,1200.0,Check coolant level and look under the car for stains near the water pump housing at the front of the engine.
Volkswagen,Jetta,6th Gen,2011,2018,Window regulator failure,"Window regulators can fail, causing the glass to drop into the door or move unevenly.",,minor,80000,250.0,450.0,Cycle all four windows fully up and down and listen for grinding.
Volkswagen,Jetta,6th Gen,2011,2018,Timing chain tensioner wear on TSI engines,"Early production 2.0T TSI engines are prone to timing chain tensioner wear, which can allow the chain to skip and cause a rattling noise on startup.",,severe,100000,2000.0,4000.0,Listen carefully for a rattle in the first few seconds after a cold start and ask if the updated tensioner was installed.
Volkswagen,Jetta,6th Gen,2011,2018,Carbon buildup on intake valves,"Direct injection on the TSI engines leads to carbon accumulation on the intake valves, causing a rough idle and reduced power over time.",,moderate,110000,400.0,900.0,Ask whether a walnut-shell intake cleaning has ever been done and note any idle roughness.
Volkswagen,Golf,7th Gen,2015,2020,DSG dual-clutch transmission mechatronic failure,"The DSG's mechatronic control unit can fail or develop jerky, hesitant shifts, particularly from a stop, as the internal clutch packs and fluid degrade.",,severe,90000,1500.0,3000.0,Test drive extensively in stop-and-go traffic and feel for jerky or delayed engagement from a stop.
Volkswagen,Golf,7th Gen,2015,2020,Ignition coil pack failure,"Coils fail individually over time, producing a rough idle and misfire codes.",,moderate,90000,300.0,600.0,Scan for stored misfire codes and ask about coil replacement history.
Volkswagen,Golf,7th Gen,2015,2020,Electronic thermostat / water pump housing failure,"The integrated electronic thermostat and water pump module can fail internally, causing erratic temperature readings or coolant loss.",,moderate,100000,600.0,1100.0,"Watch the temperature gauge during the test drive for slow warm-up or fluctuation, and check for coolant residue near the front of the engine."
Volkswagen,Golf,7th Gen,2015,2020,Carbon buildup on intake valves,"Direct injection leads to carbon deposits on the intake valves over time, reducing throttle response and smoothness.",,moderate,110000,400.0,900.0,Ask about intake cleaning history and note any rough idle or hesitation.
Volkswagen,Golf,7th Gen,2015,2020,Electrical gremlins in window switches and interior modules,"Minor electrical faults are common, including window switches that stop responding or interior lighting modules that flicker.",,minor,80000,100.0,400.0,"Test every window switch, interior light, and accessory during the test drive."
